Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,Best Users
Radiant Spirit Visage,B,4.36,-0.14,12.3%,"45,502",0.3%,"Garen, Wukong, Rift Herald , Braum, Skarner "
Striker's Flail,B,3.96,-0.14,17.1%,"2,229,117",13.4%,"Kalista , Yunara, Sett, Fizz, Lucian & Senna"
The Darkin Scythe,B,4.36,-0.14,11.4%,"153,654",1.1%,"Ambessa, Yasuo, Bel'Veth, Warwick, Shyvana"
Disruptor Emblem,B,4.23,-0.13,13.9%,"182,405",1.1%,"Lissandra, Fiddlesticks, Singed, Orianna , Swain"
Gunslinger Emblem,B,4.22,-0.13,14.9%,"165,531",1.0%,"Warwick, Kindred, Yunara, Shyvana, Vi"
Radiant Infinity Edge,B,4.37,-0.13,13.0%,"38,431",0.3%,"Brock, Yunara, Kalista , Miss Fortune, Kai'Sa "
Radiant Jeweled Gauntlet,B,4.38,-0.12,13.4%,"52,444",0.4%,"Seraphine, Kai'Sa , Lux, Nidalee , Aurelion Sol"
Last Whisper,B,4.02,-0.12,16.2%,"2,096,933",12.6%,"Kalista , Lucian & Senna, Kindred, Kai'Sa , Jinx"
Archangel's Staff,B,4.19,-0.12,13.6%,"2,514,880",15.1%,"Lux, Bard , Sona, Seraphine, Lissandra"
Radiant Striker's Flail,B,4.38,-0.12,13.2%,"23,643",0.2%,"Brock, Kalista , Yunara, Kai'Sa , Ambessa"
Blue Buff,B,4.21,-0.12,14.3%,"2,534,003",15.2%,"Seraphine, Lux, Lissandra, Veigar, Lucian & Senna"
Defender Emblem,B,4.28,-0.12,14.0%,"232,927",1.4%,"Swain, Braum, Taric, Loris, Wukong"
Rapid Firecannon,B,4.38,-0.12,11.8%,"81,904",0.6%,"Bel'Veth, Kindred, Lucian & Senna, Yunara, Warwick"
Radiant Void Staff,B,4.38,-0.12,13.3%,"20,524",0.2%,"Lissandra, Seraphine, Kai'Sa , Mel , Lux"
Longshot Emblem,B,4.26,-0.12,13.8%,"172,112",1.0%,"Bel'Veth, Lux, Kindred, Volibear , Shyvana"
Edge of Night,B,3.89,-0.12,16.8%,"1,727,911",10.4%,"Ambessa, Viego, Shyvana, Bel'Veth, Warwick"
Demacia Emblem,B,4.34,-0.11,12.5%,"414,243",2.5%,"Swain, Taric, Shyvana, Zilean, Braum"
Sniper's Focus,B,4.39,-0.11,12.2%,"85,840",0.6%,"Yunara, Kalista , Lucian & Senna, Kai'Sa , Kindred"
Slayer Emblem,B,4.29,-0.11,13.6%,"217,436",1.3%,"Ambessa, Shyvana, Rek'Sai, Volibear , Sett"
Hullcrusher,B,4.39,-0.11,12.6%,"61,944",0.5%,"Ornn, Shyvana, Sett, Wukong, Braum"
Quicksilver,B,4.06,-0.11,14.4%,"1,948,608",11.7%,"Bel'Veth, Ambessa, Warwick, Gangplank, Tryndamere "
Red Buff,B,3.98,-0.11,17.1%,"1,750,002",10.5%,"Lucian & Senna, Seraphine, Kindred, Ziggs , Lissandra"
Eternal Pact,B,4.40,-0.10,12.0%,"54,064",0.4%,"Seraphine, Ornn, Lissandra, Fiddlesticks, Lux"
Ionia Emblem,C,4.37,-0.10,15.4%,"370,403",2.2%,"Kindred, Swain, Shyvana, Lucian & Senna, Taric"
Radiant Archangel's Staff,C,4.40,-0.10,11.8%,"23,156",0.2%,"Lux, Seraphine, Bard , Mel , Lissandra"
Invoker Emblem,C,4.37,-0.09,13.3%,"301,469",1.8%,"Seraphine, Lux, Aurelion Sol, Swain, Mel "
Deathblade,C,4.08,-0.09,14.9%,"1,695,427",10.2%,"Kindred, Ambessa, Yunara, Lucian & Senna, Kalista "
Crownguard,C,3.78,-0.09,17.4%,"1,243,027",7.5%,"Swain, Singed, Braum, Taric, Rift Herald "
Freljord Emblem,C,4.38,-0.09,12.1%,"298,704",1.8%,"Loris, Taric, Swain, Wukong, Ornn"
Aegis of Dusk,C,4.41,-0.09,11.9%,"82,305",0.6%,"Ornn, Braum, Swain, Wukong, Rift Herald "
Talisman Of Ascension,C,4.42,-0.08,11.5%,"95,616",0.7%,"Ornn, Sett, Sion, Braum, Garen"
